주차,제목,핵심 목표,학습 목표 1,학습 목표 2,학습 목표 3
1,웹 시작하기,"HTML/CSS를 이용해 간단한 웹 페이지를 만들고, Git을 이용해 코드를 관리해봅니다.",HTML/CSS의 기본 문법을 익히고 직접 웹 프론트엔드를 구현할 수 있습니다.,어떤 기기에서도 화면을 구성할 수 있는 반응형 디자인 웹 사이트를 제작할 수 있습니다.,Git을 사용하여 원격 저장소에 나의 코드를 올릴 수 있습니다.
2,자바스크립트 I,"자바스크립트의 기초 개념과 문법을 익히고, 지금까지 배운 내용을 활용해 자기소개 페이지를 만들어봅니다.","자바스크립트 개념을 익히고, HTML, CSS와 연계하여 사용할 수 있습니다.",자바스크립트의 연산자와 기초 개념을 이용해 여러 프로그램을 만들 수 있습니다.,"지금까지 배운 HTML, CSS와 자바스크립트를 이용해 직접 자기소개 페이지를 제작할 수 있습니다."
3,자바스크립트 II,"웹 페이지의 구조와 자바스크립트의 동작 원리를 익히고, 웹 페이지에 다양한 동적 기능을 추가해봅니다.","DOM 구조와 이벤트의 개념을 익히고, 자바스크립트를 활용해 웹 페이지의 값을 가져오거나 동적 기능을 추가할 수 있습니다.","자바스크립트의 동작 원리를 익히고, this와 closure의 개념을 활용해 복잡한 웹 기능을 구현할 수 있습니다.","자바스크립트의 변수와 객체의 개념을 익히고, 다양한 자바스크립트의 내장 객체를 사용해 웹 기능을 구현할 수 있습니다."
4,자바스크립트 III,"비동기 프로그래밍과 Promise, async/await를 이용한 비동기 통신, API를 익히고 HTML/CSS, 자바스크립트를 활용해 미니 프로젝트를 진행합니다.",비동기 프로그래밍에 대해서 배웁니다. 그리고 Promise와 async/await로 비동기 통신을 구현해 비동기적으로 서버와 통신하는 방법을 학습합니다.,"API가 무엇인지 알아보고, API를 활용해 다른 서버와 통신하고 데이터를 다루는 방법에 대해서 학습합니다.","HTML, CSS, 자바스크립트를 총 동원하여 미니 프로젝트를 진행합니다."
5,백엔드 I,"Node.js를 익혀 자바스크립트로 서버를 구현해 봅니다. 웹 서버의 동작 방식을 이해하고, Express.js를 사용해 REST API를 구현합니다. Mongoose로 자바스크립트에서 MongoDB를 사용해보고 간단한 게시판을 만들어봅니다.","자바스크립트로 서버를 구현하는 Node.js를 학습합니다. 모듈에 대해서 이해하고 모듈 작성 방법과 사용법, npm을 통해 설치하는 법을 학습합니다.","웹의 동작방식을 이해하고, Express.js의 사용법 및 Middleware에 대해 학습합니다. 이를 바탕으로 REST API를 이해하고 작성합니다.",NoSQL 데이터베이스인 MongoDB에 대해 학습하고 Mongoose를 통해 자바스크립트에서 MongoDB를 사용해 게시판의 CRUD 기능을 구현합니다.
6,백엔드 II,"Node.js를 데이터베이스와 연동해 회원가입과 로그인 기능을 구현합니다. Session, JWT를 통한 정보 보호, 권한 부여 및 배포 방법을 학습합니다.","작성한 자바스크립트 코드를 디버깅하고 에러 핸들링 방법을 학습하고, 비동기 함수와 Mongoose에서의 에러를 처리합니다.","웹 서버를 데이터베이스와 연동해 회원가입 및 로그인 기능을 어떻게 구현하고 Session, JWT 등을 이용한 Authorization을 통해 정보를 보호하는 방법을 학습합니다.",백엔드 설계 구조 중 하나인 3계층 구조를 학습하고 구현해 봅니다.
7,프론트엔드 I,React 프로젝트를 직접 만들어 봅니다. 그리고 React를 구성하는 컴포넌트와 함수형 컴포넌트를 본격적으로 사용하기 위한 Hooks의 사용법을 익힙니다.,복잡한 형태의 웹 프론트엔드를 제작할 수 있는 React를 학습하고 스스로 React 프로젝트를 생성해 봅니다.,"컴포넌트와 JSX, Props, 상태, 이벤트에 대해 학습하고 React를 활용한 웹 페이지를 개발합니다.",함수형 컴포넌트의 상태를 변경할 수 있는 Hooks에 대해 학습하고 함수형 컴포넌트를 이용해 React App을 개발합니다.
8,프론트엔드 II,"React에서 비동기 처리를 하는 방법을 익히고, 언제 어떻게 적용해야 하는지 알아봅니다. 그리고 React의 Context API를 통해 전역 상태관리를 하는 방법을 학습합니다. ",React에서 비동기로 데이터를 가져오는 방법과 axios 라이브러리 사용 방법을 학습합니다.,"React의 전역 상태 관리를 위한 Context API에 대해 배우고, 이를 활용하는 useContext와 같은 훅을 통해 전역 상태를 관리해 봅니다.","유저 서비스 만들기 실습을 통해 React로 웹 페이지를 만드는 방법과, 디자인 프레임워크 중 하나인 Bootstrap을 알아봅니다."
9,웹 서비스 프로젝트,웹 서비스를 제작하는 팀 프로젝트를 진행합니다.,,,
10,웹 서비스 프로젝트,웹 서비스를 제작하는 팀 프로젝트를 진행합니다.,,,
11,데이터 구조,파이썬을 이용해 자료구조의 개념적 의미와 구현 방법에 대해 알아봅니다.,데이터 분석을 시작하기 전에 알아야할 파이썬 문법들을 복습하고 데이터를 처리하는 재너레이터를 학습합니다.,"자료구조의 개념적 의미와 추상적 자료형을 통한 자료구조의 구체적 구현 방법을 알아보고, 가장 간단한 형태의 자료구조인 배열 및 연결 리스트를 직접 분석 및 구현해보며 학습합니다.","스택과 큐가 컴퓨터 과학적으로 어떤 의미를 갖고 있는지 알아보고, 두 자료구조를 활용한 다양한 알고리즘 문제를 풀어봅니다."
12,알고리즘,자료 구조의 동작 원리를 이해하고 직접 구현할 수 있습니다.,어떤 문제를 작은 문제로 나누어 해결하는 분할정복법과 항상 최선의 결과를 선택하는 탐욕적 기법에 대해 배웁니다.,실전 알고리즘 문제들을 풀어보며 어떤 구조의 자료구조를 이용하여 해결할지 파악하고 구현하는 실습을 통해 문제 해결능력을 기릅니다.,
13,데이터 분석 핵심 기법,대용량의 데이터를 처리하는 방법들을 배워보며 데이터 처리를 배운다,데이터 분석에 자주 쓰이는 라이브러리인 numpy와 pandas에 대해 학습합니다.,공공 데이터를 활용해 실존하는 문제를 해결하는 방법을 배웁니다.,직접 데이터 분석 프로젝트를 진행하며 데이터 분석에서 유의미한 질문을 하고 올바르게 문제정의하는 방법에 대해 학습합니다.
14,데이터 분석 웹 서비스 프로젝트,웹 서비스에 데이터 분석 요소를 더하는 프로젝트를 진행합니다.,,,
15,데이터 분석 웹 서비스 프로젝트,웹 서비스에 데이터 분석 요소를 더하는 프로젝트를 진행합니다.,,,
16,데이터 분석 웹 서비스 프로젝트,웹 서비스에 데이터 분석 요소를 더하는 프로젝트를 진행합니다.,,,
17,딥러닝 기초,"딥러닝의 기본적인 정의 및 개념들에 대해 알아보고, 기초적인 인공신경망 퍼셉트론에 대해 학습합니다.","딥러닝과 인공지능의 정의부터 다층 퍼셉트론, 활성함수와 손실함수등 딥러닝 기술의 기초적인 용어들을 배워봅니다.","딥러닝 모델의 학습과정에서 발생할 수 있는 기울기 소실, 과적합등에 대해서도 배워보고 문제해결 방법을 배웁니다.",
18,이미지 처리와 자연어 처리 기초,이미지 처리를 위한 모델과 자연어 처리를 위한 모델들의 기초내용을 알아보고 학습된 모델을 사용하는 방법에 대해 알아봅니다.,"학습된 모델이 있을때, 이미지를 전처리하여 모델에 입력하고 결과를 해석하는 과정과 CNN의 기초 이론에 대해서 배웁니다.",순차 데이터와 자연어 데이터의 특성을 이해하고 전처리하는 방법을 배웁니다.,모델을 학습하는 방법에 대해서 배우고 학습한 모델을 다른 형식으로 변환하는 방법을 배웁니다.
19,이미지 처리와 자연어 처리,순환신경망(RNN)을 활용한 자연어 처리 알고리즘을 통해 감정 분석을 해봅니다.,합성곱 신경망(CNN)을 활용한 이미지 처리 알고리즘을 통해 객체 인식 모델을 구현해봅니다.,,
20,인공지능 웹 서비스 프로젝트,웹서비스에 인공지능 요소를 더하는 프로젝트를 진행합니다.,,,
21,인공지능 웹 서비스 프로젝트,웹서비스에 인공지능 요소를 더하는 프로젝트를 진행합니다.,,,
22,인공지능 웹 서비스 프로젝트,웹서비스에 인공지능 요소를 더하는 프로젝트를 진행합니다.,,,
23,인공지능 웹 서비스 프로젝트,웹서비스에 인공지능 요소를 더하는 프로젝트를 진행합니다.,,,
24,인공지능 웹 서비스 프로젝트,웹서비스에 인공지능 요소를 더하는 프로젝트를 진행합니다.,,,
